lat,lon,ele,time,cum_dist,cum_up,cum_down,cum_time
24.410785376117012,121.30293161619576,2223.7437438964844,2022-12-20 23:54:23+00:00,0.0,0.0,0.0,0 days 00:00:00
24.41070262147948,121.30284494483412,2220.986419104971,2022-12-20 23:54:33+00:00,12.73008587923508,0.0,2.7573247915133834,0 days 00:00:10
24.410178566329343,121.30273822903136,2224.4009094098583,2022-12-20 23:55:08+00:00,72.06239631076677,3.4144903048872948,2.7573247915133834,0 days 00:00:45
24.40970897764708,121.30282042540468,2223.843807003461,2022-12-20 23:55:44+00:00,124.99688858790559,3.4144903048872948,3.3144271979108453,0 days 00:01:21
24.40962512247425,121.30290739679178,2225.6509376131,2022-12-20 23:55:50+00:00,137.83682497615183,5.221620914526284,3.3144271979108453,0 days 00:01:27
24.40953606419173,121.30325743442783,2226.414807078429,2022-12-20 23:56:14+00:00,174.67895888972188,5.9854903798554915,3.3144271979108453,0 days 00:01:51
24.40924215572598,121.30366182003704,2228.840564080514,2022-12-20 23:56:51+00:00,227.12744205741907,8.411247381940484,3.3144271979108453,0 days 00:02:28
24.40880568727587,121.3040934657141,2228.5004967097198,2022-12-20 23:57:33+00:00,292.5135606970798,8.411247381940484,3.654494568705104,0 days 00:03:10
24.408382383320493,121.30437294074832,2224.1713680299,2022-12-20 23:58:09+00:00,347.4964533824604,8.411247381940484,7.983623248524964,0 days 00:03:46
24.408190035791787,121.3043672065254,2220.609768825583,2022-12-20 23:58:21+00:00,368.9164689489583,8.411247381940484,11.5452224528417,0 days 00:03:58
24.408058360594083,121.30456236977926,2217.8165631359443,2022-12-20 23:58:39+00:00,393.5388204870142,8.411247381940484,14.338428142480552,0 days 00:04:16
24.408020890756124,121.30454299851525,2217.5815677940845,2022-12-20 23:58:45+00:00,398.1490779346398,8.411247381940484,14.57342348434031,0 days 00:04:22
24.40813259580861,121.30439661097984,2222.292636068538,2022-12-21 00:01:02+00:00,417.5098091069974,13.122315656393766,14.57342348434031,0 days 00:06:39
24.40815702943087,121.30409019002728,2230.183681570925,2022-12-21 00:01:38+00:00,448.6907947148749,21.013361158780754,14.57342348434031,0 days 00:07:15
24.4082723382843,121.3039860457763,2237.4783084476367,2022-12-21 00:02:02+00:00,465.31070861429697,28.3079880354926,14.57342348434031,0 days 00:07:39
24.40835331760845,121.3036095304504,2251.4970913147554,2022-12-21 00:03:19+00:00,504.5284185212463,42.326770902611315,14.57342348434031,0 days 00:08:56
24.408406638305703,121.3036354341649,2252.3878232669085,2022-12-21 00:03:25+00:00,511.0189714107401,43.21750285476446,14.57342348434031,0 days 00:09:02
24.40839798229935,121.3035624410254,2255.6486096279696,2022-12-21 00:03:37+00:00,518.4808049721388,46.4782892158255,14.57342348434031,0 days 00:09:14
24.408451714802933,121.30358585207767,2257.7288519134745,2022-12-21 00:03:49+00:00,524.9158967006607,48.558531501330435,14.57342348434031,0 days 00:09:26
24.40866501200496,121.30332875218691,2270.445019104518,2022-12-21 00:05:12+00:00,560.1725850739826,61.27469869237393,14.57342348434031,0 days 00:10:49
24.408684944478697,121.30306208555608,2277.741731436923,2022-12-21 00:06:06+00:00,587.2955861799182,68.57141102477908,14.57342348434031,0 days 00:11:43
24.408881045059093,121.30270707446776,2284.346833053045,2022-12-21 00:07:04+00:00,629.3865596669143,75.17651264090091,14.57342348434031,0 days 00:12:41
24.40899881906728,121.30262678258931,2283.7625496825203,2022-12-21 00:07:22+00:00,644.8181650591787,75.17651264090091,15.157706854864955,0 days 00:12:59
24.4090154286509,121.30250824498548,2281.958827368915,2022-12-21 00:07:34+00:00,656.9757537126835,75.17651264090091,16.961429168470204,0 days 00:13:11
24.40920130411742,121.3023931378499,2291.6474798638374,2022-12-21 00:08:04+00:00,680.7306784287874,84.86516513582319,16.961429168470204,0 days 00:13:41
24.409355317529904,121.30211007072673,2298.80004336033,2022-12-21 00:09:19+00:00,714.1569565285813,92.017728632316,16.961429168470204,0 days 00:14:56
24.409561485394992,121.30200226331098,2308.301625925116,2022-12-21 00:10:01+00:00,739.576642266812,101.51931119710162,16.961429168470204,0 days 00:15:38
24.40967256089738,121.30185291250484,2313.529971460812,2022-12-21 00:10:48+00:00,759.1240139902623,106.74765673279762,16.961429168470204,0 days 00:16:25
24.409874379654937,121.30179570029904,2324.596936358139,2022-12-21 00:11:54+00:00,782.3269669312207,117.81462163012475,16.961429168470204,0 days 00:17:31
24.40996325767921,121.3016478601776,2334.180305082351,2022-12-21 00:12:48+00:00,800.284782804549,127.3979903543368,16.961429168470204,0 days 00:18:25
24.40987006673535,121.3012091061386,2348.7378705507144,2022-12-21 00:14:52+00:00,845.954831996005,141.95555582270026,16.961429168470204,0 days 00:20:29
24.41022515761121,121.30132591308576,2357.07215228118,2022-12-21 00:16:03+00:00,887.2188594702081,150.28983755316585,16.961429168470204,0 days 00:21:40
24.410268662809383,121.30140214909856,2356.8802347118035,2022-12-21 00:16:27+00:00,896.338959500176,150.28983755316585,17.153346737846732,0 days 00:22:04
24.410322977336072,121.30134522281534,2356.932260897942,2022-12-21 00:16:39+00:00,904.6970127386829,150.34186373930424,17.153346737846732,0 days 00:22:16
24.410450224057225,121.30140821136024,2365.05660400074,2022-12-21 00:17:20+00:00,920.2346925466476,158.46620684210257,17.153346737846732,0 days 00:22:57
24.410426851353225,121.30119382955668,2366.442653642968,2022-12-21 00:18:08+00:00,942.1215462112639,159.85225648433016,17.153346737846732,0 days 00:23:45
