檔案名,max累計水平距離,max累計爬升高度,max累計下降高度,max累計花費時間
HB0409桃山沒桃子.csv,12171.534952090924,1653.59462899829,1647.0907537205978,0 days 08:47:26
HB0410桃山.csv,14060.572101482934,2103.6329197108944,2111.2468694260797,0 days 13:22:39
HB0521單攻桃山.csv,11984.53408472608,1626.3476149680218,1625.893731361951,0 days 10:11:29
HB0829桃山.csv,16454.33938950211,1837.6649201238956,1841.6240857166451,0 days 10:40:23
HB1-18桃山.csv,14851.918825878034,1717.5038801597184,1652.5097063778742,0 days 12:14:16
HB10-15 桃山單攻.csv,12397.58611672227,1822.9434437033572,1740.1404579741506,0 days 08:50:22
HB1091011-桃山.csv,4706.017054700057,1434.4933449076475,103.34104513376838,0 days 07:17:50
HB1091226桃山單攻.csv,10390.33661035701,1536.8532092681894,1543.7192682627906,0 days 09:21:27
HB111.09.25桃山單攻.csv,11439.543813895367,1552.3885646516762,1544.7091466103714,0 days 08:40:02
HB111.8.22桃山單攻.csv,12167.748256992236,1610.9088760828708,1622.2121304561665,0 days 08:57:00
HB1110115桃山⛰️.csv,10024.658327923655,1618.8611364480562,1593.9309394906375,0 days 12:24:40
HB112-9-24桃山單攻.csv,13685.34812544185,1629.0567990435081,1631.702544106345,0 days 10:26:25
HB12.03桃山.csv,9987.132900596553,1782.2694678697117,1784.1438673568723,0 days 08:05:22
HB20123-9-23爬桃山爬到厭世.csv,9623.774056524308,2115.3928655591203,2100.561525456419,0 days 10:45:07
HB2014-5-25單攻桃山.csv,11264.201000083249,1443.6008563861187,1663.99105275777,0 days 08:35:22
HB20200418 桃山.csv,2926.192795359377,999.43603515625,54.52392578125,0 days 04:38:06
HB20201212 桃山.csv,11628.514783835835,1581.4042589098287,1588.2130965402139,0 days 12:39:49
HB2021-11-25 武陵桃山上行.csv,5125.609889520267,1460.3306658656095,53.42154203633572,0 days 06:35:25
HB2021-11-28 桃山.csv,11369.894788479385,1717.312709459398,1717.050009836438,0 days 09:45:20
HB2021-11-7 桃山.csv,14318.658955859022,2766.6878180502545,2763.93198248199,0 days 14:53:47
HB2021-12-11 桃山.csv,11298.590711875648,1612.19462912037,1605.371431082677,0 days 11:27:09
HB2021-12-20 桃山單攻.csv,9952.208999493318,1905.9386920697618,1858.7964712819457,0 days 09:59:14
HB2021-9-26 桃山單攻.csv,12565.961622663957,1591.1873116906304,1590.7472811609566,0 days 10:25:49
HB20210320_桃山單攻.csv,11719.191658045795,1976.3624656526013,1924.0226404678508,0 days 11:56:43
HB20210927桃山單攻.csv,10273.782986188387,1636.3370892109733,1637.7495747415685,0 days 12:11:40
HB20211016-桃山單攻.csv,11006.549134889974,1554.3176243246387,1545.9714596168487,0 days 09:40:08
HB2022-10-08 桃山.csv,12348.867745480527,1625.082541277136,1624.7486054691788,0 days 09:59:07
HB2022-6-19 桃山.csv,12053.418205820944,1552.4370058821241,1553.4862306321172,0 days 09:45:11
HB2022-6-25 桃山.csv,16876.09022136796,1796.6722942147178,1704.378217885047,0 days 10:24:22
HB2022-6-3 桃山單攻.csv,5805.472360143795,1981.643119581815,608.2678968644043,0 days 06:20:53
HB2022-8-28 桃山單攻.csv,11500.804683442822,1799.2160597116806,1788.869070935234,0 days 11:17:11
HB2022-9-10 桃山.csv,10708.043521260928,2687.66532279866,2710.1676559130738,0 days 10:10:27
HB20220703_桃山單攻.csv,13839.7266373636,1895.6883823426656,1897.387528384128,0 days 12:19:39
HB20220710 一日桃山.csv,10147.99338964618,1369.4000244140625,1411.5999755859375,0 days 10:36:36
HB20220910中秋自虐桃山.csv,15957.599207762587,1714.4953172204484,1723.691704885982,0 days 12:33:11
HB2022100 重裝16kg上桃山.csv,7033.250099086006,1535.1005824197066,105.04299423114094,0 days 05:31:21
HB20221001桃山.csv,11934.443492894068,1589.7721202640707,1591.6132677536143,0 days 09:27:48
HB2022桃山.csv,17883.160801164257,1595.66185906329,1602.238932525036,0 days 10:34:58
HB2023-05-05 桃山單攻.csv,11284.205617686848,1609.5742457576107,1607.887385753789,0 days 09:34:27
HB2023-054桃山.csv,12618.460027496769,1352.564879872375,1368.8440755998622,0 days 11:25:15
HB2023-0617 桃山一日單攻成功.csv,11900.086066744578,1780.970997448213,1782.1348317367988,0 days 11:51:59
HB2023-09-16桃山單攻.csv,17587.757592207352,1991.4369042295239,1998.3307324573727,0 days 14:47:33
HB2023-09-23 一日桃山.csv,11997.050224524693,1879.5621867679756,1877.8395589947258,0 days 11:47:17
HB2023-10-15桃山單攻.csv,10502.648532122132,1597.4144719421765,1515.2109943565624,0 days 09:32:20
HB2023-10-2 桃山.csv,11940.072800320779,1727.425989645333,1726.6353562060365,0 days 11:01:16
HB2023-10-27 桃山.csv,12232.189585688879,1784.2186310224433,1784.7729663396026,0 days 11:38:48
HB2023-10-28 桃山單攻.csv,11491.589290081407,1765.0710555840164,1766.0007557250083,0 days 07:07:26
HB2023-10-9 桃山一日遊.csv,12673.41185441857,1684.6564546143527,1679.0998627738225,0 days 08:32:24
HB2023-11-25 桃山.csv,12713.407170078004,1653.8158888183355,1653.675148612349,0 days 12:38:23
HB2023-11-26 桃山單攻 (1).csv,15242.77702027738,1796.5003707272099,1798.1698285494253,0 days 09:37:17
HB2023-11-26 桃山單攻.csv,15242.77702027738,1796.5003707272099,1798.1698285494253,0 days 09:37:17
HB2023-11-4 桃山一日單攻.csv,7450.760455960454,1484.386010882805,950.1420796143402,0 days 12:35:22
HB2023-12-31 桃山.csv,12244.253177368526,1619.748127711159,1628.1969002409867,0 days 16:37:43
HB2023-3-23 桃山.csv,12692.12279291531,2377.4753801462457,2374.0105115050555,0 days 11:59:03
HB2023-4-3 桃山單攻.csv,11141.95194139065,1831.0672916336496,1761.1365022158664,0 days 11:07:02
HB2023-4-30 第一座百岳 桃山單攻.csv,3056.7090239646154,994.050643866155,5.972620686287428,0 days 04:12:41
HB2023-5-27 桃山.csv,12761.74852653427,1723.2175438402885,1714.8063934308561,0 days 10:33:38
HB2023-6-10 桃山單攻.csv,12192.09301406522,1725.4372128896507,1714.974363350943,0 days 11:39:45
HB2023-6-23 桃山.csv,7595.171937695521,1078.410164046244,1523.5254611180617,0 days 08:04:20
HB2023-6-8 桃山單攻.csv,11467.864089075429,1619.199047202934,1623.698524851151,0 days 09:47:55
HB2023-7-11 桃山.csv,12154.914641703426,1575.025717707308,1569.3064788822533,0 days 08:55:18
HB2023-7-11桃山.csv,21062.283023723914,6262.041829399663,6262.132334509894,0 days 10:41:55
HB2023-7-23 桃山單攻 (1).csv,11784.094696849808,1670.72247064159,1672.0734879123452,0 days 09:09:35
HB2023-7-23 桃山單攻.csv,13614.467099970409,1622.181109509361,1620.8944751370634,0 days 09:03:41
HB2023-7-5 桃山武陵.csv,5826.338877052227,93.70455234025894,1506.7402449697336,0 days 04:10:53
HB2023-8-12 桃山單攻.csv,11330.008487184574,1701.9350930676408,1628.2181602592607,0 days 10:27:42
HB2023-8-13 桃山.csv,11829.570320563118,1876.787812234022,1878.3438133123052,0 days 09:38:20
HB2023-8-13 重裝桃山訓.csv,13010.019953934996,2438.4642294506293,2437.2756293224415,0 days 13:25:56
HB2023-8-19 桃山.csv,11048.440712027912,1579.427076072293,1490.7217317367122,0 days 10:38:25
HB2023-8-26 桃山.csv,11142.53136694048,1626.2738076838452,1624.2252741296022,0 days 13:25:38
HB2023-8-27 桃山單攻.csv,17184.435616875224,1949.256247864327,1936.3857759547514,0 days 10:27:26
HB2023-9-24 桃山單攻練腿.csv,9359.787143806218,1484.5971964414166,1414.518699616506,0 days 07:06:35
HB2023.12.27桃山一日單攻.csv,20267.188056330295,1716.0624369648363,1902.454295764666,0 days 16:24:38
HB2023.9.17桃山單攻.csv,11442.630471066459,1521.8000488281257,1508.2000732421884,0 days 11:31:42
HB20230610桃山.csv,11918.936846545834,1804.1637311437282,1789.329982266726,0 days 11:45:11
HB20230711 桃山單攻.csv,27509.498618425398,2004.2739263048504,2166.170376072838,0 days 12:06:21
HB20231108桃山輕鬆自在行.csv,14385.788721819912,1520.4032718555707,1765.1969063021072,0 days 11:54:49
HB20231213-桃山單攻.csv,5148.343762809878,648.9783283647484,642.2706181374144,0 days 08:00:32
HB2024-02-02 武陵第一秀。桃山.csv,11459.606683108688,1649.955068698794,1647.4263003609883,0 days 12:56:55
HB2024-0608桃山單攻.csv,11924.709646346015,1639.6376561654813,1639.2247389890829,0 days 08:02:42
HB2024-1-29 桃山.csv,8437.664627314329,1183.4774799802708,1294.6281761048742,0 days 08:17:45
HB2024-10-13桃山單攻看日出.csv,12379.307128245433,1578.5824435231993,1586.09788370131,0 days 09:19:43
HB2024-10-22 桃山.csv,9599.847439125511,1765.8110816774595,387.91452846906145,0 days 11:56:51
HB2024-10-6 桃山步道.csv,14781.696558580818,2087.8566120341065,2097.760073120348,0 days 10:52:12
HB2024-11-09 單攻桃山.csv,12128.646976288152,1786.8057735278967,1786.3677122645815,0 days 12:17:37
HB2024-11-23桃山.csv,12510.98634332292,1624.4941248863136,1617.6483331946113,0 days 10:13:08
HB2024-11-24 ㄧ日桃山.csv,13707.130240582128,1869.3593049649978,1868.8913838551512,0 days 13:56:04
HB2024-11-24 小桃山猴子偷桃.csv,11584.004173078154,1748.3995011632946,1756.174738276454,0 days 10:11:35
HB2024-11-24 桃山單攻.csv,17717.048072580707,2174.575191438595,2187.0240044737125,0 days 14:17:08
HB2024-11-25 桃山.csv,12598.245774503335,1685.8826157424278,1677.2996230990252,0 days 11:57:05
HB2024-11-9 桃山.csv,13806.013394850102,1684.2821541393769,1714.5869539986697,0 days 12:26:58
HB2024-12-1 桃山單攻.csv,13538.927768169246,3029.9414999847113,3032.65579472622,0 days 09:45:45
